id,year,season_type,game_id,game_date,game_teams,period,result,shot_type,shot_value,shot_zone,shot_range,shot_distance,shot_xlocation,shot_ylocation,opponent
0,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,130,33,SEA
1,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,100,121,SEA
2,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,136,214,SEA
3,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-128,1,SEA
4,1998-99,Regular Season,0029800012,"FEB 05, 1999",DAL @ SEA,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,SEA
5,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,164,-8,GSW
6,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,14,63,128,GSW
7,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,130,212,GSW
8,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,9,-70,68,GSW
9,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,121,216,GSW
10,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,78,151,GSW
11,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,164,184,GSW
12,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,78,239,GSW
13,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-85,85,GSW
14,1998-99,Regular Season,0029800026,"FEB 07, 1999",DAL @ GSW,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-36,42,GSW
15,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
16,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,138,207,UTA
17,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,18,186,UTA
18,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,0,0,UTA
19,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,147,203,UTA
20,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,126,-16,UTA
21,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,-136,158,UTA
22,1998-99,Regular Season,0029800041,"FEB 09, 1999",DAL vs. UTA,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-143,87,UTA
